                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.0021,                 1.5169,                0.57545,                 1.0115,                0.61662,                0.73451,                0.64601,                0.28296,                0.54436,                0.71048,                0.57183,                0.24258,                 2.1132,                 3.5066,                 1.0742,                 1.6567,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0111,                 1.5477,                0.58653,                0.99672,                0.61479,                0.75575,                  0.659,                0.28446,                0.56243,                0.69381,                0.57189,                 0.2409,                 2.1785,                  3.807,                 1.0919,                 1.6993,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0025,                 1.5231,                0.58326,                 1.0012,                  0.595,                0.75927,                 0.6563,                0.28107,                0.53729,                0.70796,                0.56879,                0.23684,                 2.2473,                   4.06,                 1.1349,                 1.7478,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0108,                 1.5246,                0.57111,                0.99114,                 0.6025,                 0.7469,                0.65018,                0.28658,                0.55682,                0.69027,                0.55678,                0.23614,                 2.2662,                 3.9656,                 1.1698,                 1.7446,               0.000416,               0.000416,               0.000416
                     82,                0.97227,                 1.5181,                0.57236,                0.98728,                0.62933,                0.72389,                0.65327,                0.28926,                0.55616,                0.69558,                0.55477,                0.24054,                 2.2474,                 3.6476,                  1.225,                 1.7152,              0.0003962,              0.0003962,              0.0003962
                     83,                0.98344,                 1.4821,                0.55441,                0.97978,                0.63512,                0.74863,                0.65445,                0.28691,                0.56794,                0.70727,                0.55634,                0.23689,                 2.2416,                 3.4887,                 1.2491,                  1.691,              0.0003764,              0.0003764,              0.0003764
                     84,                0.97226,                 1.5165,                0.56895,                0.99295,                0.61689,                0.73274,                0.62392,                0.27503,                0.54837,                0.69381,                0.53897,                0.22465,                 2.2542,                 3.7044,                 1.1486,                 1.7022,              0.0003566,              0.0003566,              0.0003566
                     85,                0.97455,                 1.4866,                0.56596,                0.97366,                0.60756,                0.71504,                0.62206,                0.26829,                  0.536,                0.71681,                0.54368,                0.22439,                 2.2367,                 3.7298,                 1.1154,                 1.7108,              0.0003368,              0.0003368,              0.0003368
                     86,                0.97143,                 1.4708,                0.55239,                0.98881,                0.58421,                0.76842,                0.63433,                0.26849,                0.52097,                 0.7115,                0.54282,                0.22188,                  2.161,                   3.58,                 1.0913,                 1.6649,               0.000317,               0.000317,               0.000317
                     87,                 0.9796,                 1.5219,                0.56202,                0.99114,                 0.5957,                0.74867,                0.64686,                0.27458,                0.52329,                0.71681,                0.55259,                 0.2328,                 2.0803,                 3.3514,                 1.0778,                 1.6154,              0.0002972,              0.0002972,              0.0002972
